,Image,CVE-bin-tool,Docker Scout,Docker Scout SBOM,Grype,Grype SBOM,Snyk,Trivy,Trivy SBOM
25,tokiw_olm:be0.1,0,47,21,223,232,0,0,219
26,jfcoz_blog:sha-b4a1160,1,75,75,965,965,721,1069,68
27,dockerinfratest_push-exporter:f541772c-ad8b-4e2f-9cc6-e918d9cf0cb2,0,0,0,6,6,0,0,0
28,azharshaikh662_hello-app:01,9,26,26,113,113,238,113,15
29,inzamamtahir_kamal_test:61c8acb1f518e8b5e7302e82a1bc5b1e5869519a,62,146,146,338,338,690,343,34
30,mongpranit_ebusinesscard:02052025-01,5,0,0,10,10,0,0,0
31,hexlo_terraria-tmodloader-server:0.1.0.0,218,174,238,403,403,874,392,75
32,noiro_aci-containers-controller:6.0.4.4.81c2369.041725.10566,0,80,80,269,277,0,267,70
33,seworkshop_kafka-test:1.509,132,0,0,130,130,0,0,0
34,saiprasadkrishnamurthy_reconciliation-service:0.1-SNAPSHOT,40,51,51,141,141,0,66,34
35,altinityinfra_test-base:1-16ee9e1c01224ee0167d4bd010a7f2cf451b74b4-aarch64,2537,1395,1395,2131,2143,506,1556,71
36,kenoalords_velvyapp:7f9db3441e7b55726f890bc6cfc079ef2d444ec2,10,1,1,7,7,0,1,1
37,atareao_expertos:v0.1.0,2,0,0,8,8,0,0,0
38,kolejka_satori:judge,73,620,638,1502,1518,148,1109,42
39,cy01_blackhole:v0.5.1,0,4,4,5,5,0,5,4
40,ppcelery_one-api:arm64-1ab9593,37,10,10,19,19,0,20,5
41,hhdev_php:8.2-apache,2,177,180,1999,1999,1292,2011,108
42,ltgc_gel:opensuse,0,0,0,0,0,0,0,0
43,free5gc_ueransim:v3.3.0,8,108,108,2988,2988,560,3000,22
44,lab7aisupport_lab7ai-backend:a94a3be532b0ed59899309cb0f0d1550c4d91d8d,2,27,27,77,77,161,81,11
45,free5gc_n3iwue:v3.4.3,2,133,133,2099,2099,470,2111,44
46,innosabi_node:20-alpine,5,5,5,14,14,0,8,3
47,khoubaib85_association-back:63,5,181,181,132,132,25,129,116
48,altinityinfra_dotnet-client:0-d130ef35e3a9fd08482ceb21df71d53828458ae7-aarch64,220,11,9,589,590,1253,685,144
49,diodonfrost_ansible-almalinux:9,338,44,32,276,287,0,0,20
50,razz1k_itkovrochistapp-staging:09d52ab3f2cd4308ccbc2d165d4d0916e69be0f4,66,2,2,77,77,3,2,1
51,silentmecha_wine:unstable,86,1067,2683,3372,3372,1521,1699,113
52,ycstech_kube-controller-manager:v1.32.4,0,8,8,7,7,0,7,6
53,maksim1111_loook-api:20250502-e3a179a,4,8,8,15,15,0,8,8
54,21120414_ecommerce-backend:4518babaa7996ea4d6286497881e6d294a069d89,1,10,10,29,29,0,7,7
55,amooati_paback-django:amd64-latest,5,30,30,100,100,0,104,11
56,stbotog_dexchart-referral:d9ec38818b7e8b1d1c35cb0f6d7e293d091bb690,0,50,50,129,129,0,134,25
57,vlulukyan_autograde:3dce58b,0,48,48,130,130,0,135,24
58,icoy_kube-combo-base:v0.0.7-amd64,0,68,68,278,284,409,283,79
59,tomasgorsd_sqm-repo-images:atl-services-image,55,62,62,104,104,0,109,42
60,torizon_qt6-wayland-imx8:4-rc,59,99,109,3354,3354,0,3361,57
61,upswot_upswot.api:6.0.2.0,46,20,20,82,82,168,566,16
62,rezcarbon_memorycortex:1.1.9-fixed,97,59,59,135,135,233,144,38
63,nathstevo97_ckan:302234cc4b597c3b0c8aa35e443f0a35f24cf169,165,133,133,1042,1042,1010,1144,95
64,realsoft2023_backend-dev-design:10042025,1252,116,116,3144,3155,5814,603,227
65,hdang09_cfms-fe:v1,3,1,1,7,7,0,1,1
66,joehorn_phpunit:12-php8.3,2,73,73,870,870,0,928,58
67,elsamhaa_alpine:1,4,29,29,118,118,252,77,22
68,adminff_sms-service-bot:develop-1722,3,3,3,12,12,0,4,3
69,vimeo_psalm-github-actions:4.9.1,80,120,120,264,264,413,155,92
70,guigeng_sing-box:v1.12.0-alpha.2,0,8,8,17,17,30,11,7
71,passimx_chats-frontend:0.0.1,7,7,7,13,13,20,7,5
72,jarebear_hbni-audio-archive:2025.03.23.13,132,116,116,521,521,1118,516,67
73,thooper91_draw-steel-api:5eb72736fba6d5f37ef951b54e553066cd93534f,6,50,50,898,898,0,903,11
74,free5gc_udr:v3.4.2,8,19,19,37,37,0,16,16
75,louisroyer_dev-free5gc-smf:bookworm-2025-03-07-67367cb-slim,0,75,75,158,158,228,129,52
76,solvworld_web-app:1.0,198,192,194,3210,3210,1671,3339,144
77,breuner_elbencho:master-ubuntu1804,132,0,0,130,130,130,0,0
78,socrata_java-focal:17,90,1408,1408,1636,1651,188,1399,44
79,woosungchoi_fpm-alpine:7.4-arm64,34,39,39,284,284,246,80,33
80,frostfree_kittygram_backend:v0.1,171,185,184,1985,1985,1394,2111,137
81,yuvadius_cannon:102788d9,2,27,27,73,73,0,78,11
82,besscroft_picimpact:v2.0.2,13,5,5,13,13,27,8,3
83,zbio_roostgpt-cli:34dd3d967d5100c4b34add731408d728e48dab5c,4,10,10,26,26,0,20,7
84,scmdtdevapp_rm-fe:v1,5,0,0,10,10,0,0,0
85,bunkerity_bunkerweb-scheduler:1.6.0-rc2,2,8,8,34,34,0,17,6
86,adysis_vector:v1.0.1,5,35,35,122,122,238,133,17
87,enmanuelmoreira_docker-ansible-debian:12-arm64,54,84,84,855,877,0,958,67
88,ikonde_care_tracker_backend:f438c1aeafb4545b8b76cf473faa62e9996dccb4,104,172,172,3330,3330,0,3335,60
89,phatluu313_el-fe:0ebef20b,471,16,16,2676,2677,3085,6636,276
90,devradyalabs_raconn.webapp:0.2.0-staging.0,30,36,36,50,50,0,38,31
91,myonara_webmud3:unitopia,30,21,24,62,62,74,27,17
92,ngshiheng_cafireshistorydb:20250413,145,83,83,246,246,458,235,41
93,1maa_erlang:21-alpine,29,19,19,52,52,0,33,4
94,domboeckli_sdjpa-hibernate-dao:0.0.1_feature_fix_h2_console-SNAPSHOT,36,3,3,46,46,9,11,4
95,amerinoo_crosstrain_aio:2.1.4,5,28,28,59,59,20,33,25
96,sedatd_enreship_api:dev-2025-05-05_20-34-47,105,133,133,317,317,0,279,81
97,wiramin_dmsfe:80,5,8,8,18,18,22,8,6
98,oneelectronicbilling_etax_webportal_uat_v2:uat-1.9.280,35,52,52,115,115,0,89,31
99,vuepay_prod:1.0,213,59,64,107,107,134,83,47
100,ycstech_kube-proxy-s390x:v1.33.0-beta.0,8,3,8,20,20,223,20,6
101,camemis_ministry-dashboard-web:f304efe5,122,58,58,171,171,0,95,51
102,w3io_w3-runtime:fd97f250b78da05a9811ac997fdb46bfcc08faac,75,51,51,886,886,525,984,38
